2022-11-14 15:09:05,290 | urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 192.168.3.56:8098
2022-11-14 15:09:05,447 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects HTTP/1.1" 200 7551
2022-11-14 15:09:05,497 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/4/merge_requests?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,537 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/3/merge_requests?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,589 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/2/merge_requests?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,636 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/1/merge_requests?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,678 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/4/issues?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,717 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/3/issues?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,763 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/2/issues?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 2
2022-11-14 15:09:05,835 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/1/issues?created_after=2022-11-11+15%3A09%3A05.288808 HTTP/1.1" 200 756
2022-11-14 15:09:05,850 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'issue_id': 3, 'issue_title': 'issue3', 'issue_state': 'opened', 'created_at': '2022-11-14T03:04:53.029Z', 'updated_at': '2022-11-14T03:04:53.029Z'}, 'time': 1668413345000000000, 'fields': {'issue_id': 3}}] to bucket gitlab
2022-11-14 15:09:05,926 | root | INFO | write [{'measurement': 4, 'tags': {'project_name': 'd', 'commit_id': 'c1d900b706be2c560f959ae5ab84285d1b84efc7', 'commit_title': 'Add new file', 'created_at': '2022-11-09T07:50:17.000Z', 'author_email': 'admin@example.com'}, 'time': 1668413345000000000, 'fields': {'commit_id': 'c1d900b7'}}] to bucket gitlab
2022-11-14 15:09:06,047 | root | INFO | write [{'measurement': 2, 'tags': {'project_name': 'b', 'commit_id': '1d759fd0d2ddfc0643c8037f394edfb8005e47f2', 'commit_title': 'Add new file', 'created_at': '2022-11-09T03:56:24.000Z', 'author_email': 'caolv@gmail.com'}, 'time': 1668413346000000000, 'fields': {'commit_id': '1d759fd0'}}] to bucket gitlab
2022-11-14 15:09:06,133 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '177b6fe18d73282701fc2eecf24eb6bddeb9f778', 'commit_title': 'commit2', 'created_at': '2022-11-11T02:54:10.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': '177b6fe1'}}] to bucket gitlab
2022-11-14 15:09:06,158 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '06450ae3fedd1a30d414d4299b01e46d70a5f2bd', 'commit_title': 'commit', 'created_at': '2022-11-11T02:42:12.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': '06450ae3'}}] to bucket gitlab
2022-11-14 15:09:06,186 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '53edc3a48cc2749dda2d66fcafcd25e2642e596b', 'commit_title': 'init', 'created_at': '2022-11-11T02:38:39.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': '53edc3a4'}}] to bucket gitlab
2022-11-14 15:09:06,210 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': 'b109c77910be614a996ef52abdf283beb8bf172e', 'commit_title': 'init', 'created_at': '2022-11-10T01:29:54.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': 'b109c779'}}] to bucket gitlab
2022-11-14 15:09:06,241 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '7b4e0917ab45441fda4c7394cde25d8f6dd5b678', 'commit_title': 'init', 'created_at': '2022-11-10T01:29:49.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': '7b4e0917'}}] to bucket gitlab
2022-11-14 15:09:06,265 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': 'ad25c1577ba9021956c9e6857f52379c7de442a1', 'commit_title': 'init', 'created_at': '2022-11-10T01:29:39.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': 'ad25c157'}}] to bucket gitlab
2022-11-14 15:09:06,287 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '0fab7cbbe9ae573fef27b0a5e34d3e5cdd469060', 'commit_title': 'init', 'created_at': '2022-11-09T03:48:35.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413346000000000, 'fields': {'commit_id': '0fab7cbb'}}] to bucket gitlab
