2022-11-14 15:11:25,279 | urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 192.168.3.56:8098
2022-11-14 15:11:25,421 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects HTTP/1.1" 200 7551
2022-11-14 15:11:25,472 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/4/merge_requests?created_after=2022-11-07+15%3A11%3A25.277058 HTTP/1.1" 200 2
2022-11-14 15:11:25,510 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/3/merge_requests?created_after=2022-11-07+15%3A11%3A25.277058 HTTP/1.1" 200 2
2022-11-14 15:11:25,543 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/2/merge_requests?created_after=2022-11-07+15%3A11%3A25.277058 HTTP/1.1" 200 2
2022-11-14 15:11:25,617 | urllib3.connectionpool | DEBUG | http://192.168.3.56:8098 "GET /api/v4/projects/1/merge_requests?created_after=2022-11-07+15%3A11%3A25.277058 HTTP/1.1" 200 2397
2022-11-14 15:11:25,628 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'mrs_id': 2, 'mrs_title': 'WIP: Feature1', 'state': 'closed', 'created_at': '2022-11-09T09:55:46.974Z', 'updated_at': '2022-11-09T09:56:00.691Z', 'target_branch': 'develop', 'source_branch': 'feature1'}, 'time': 1668413485000000000, 'fields': {'mrs_id': 2}}] to bucket gitlab
2022-11-14 15:11:25,664 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'mrs_id': 1, 'mrs_title': 'WIP: Feature1', 'state': 'opened', 'created_at': '2022-11-09T03:54:15.158Z', 'updated_at': '2022-11-09T09:56:45.750Z', 'target_branch': 'master', 'source_branch': 'feature1'}, 'time': 1668413485000000000, 'fields': {'mrs_id': 1}}] to bucket gitlab
2022-11-14 15:11:26,000 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'issue_id': 3, 'issue_title': 'issue3', 'issue_state': 'opened', 'created_at': '2022-11-14T03:04:53.029Z', 'updated_at': '2022-11-14T03:04:53.029Z'}, 'time': 1668413485000000000, 'fields': {'issue_id': 3}}] to bucket gitlab
2022-11-14 15:11:26,023 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'issue_id': 2, 'issue_title': 'issue 2', 'issue_state': 'opened', 'created_at': '2022-11-09T10:28:02.674Z', 'updated_at': '2022-11-09T10:28:02.674Z'}, 'time': 1668413486000000000, 'fields': {'issue_id': 2}}] to bucket gitlab
2022-11-14 15:11:26,048 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'issue_id': 1, 'issue_title': 'aaaa', 'issue_state': 'opened', 'created_at': '2022-11-09T03:54:31.930Z', 'updated_at': '2022-11-09T03:54:31.930Z'}, 'time': 1668413486000000000, 'fields': {'issue_id': 1}}] to bucket gitlab
2022-11-14 15:11:26,130 | root | INFO | write [{'measurement': 4, 'tags': {'project_name': 'd', 'commit_id': 'c1d900b706be2c560f959ae5ab84285d1b84efc7', 'commit_title': 'Add new file', 'created_at': '2022-11-09T07:50:17.000Z', 'author_email': 'admin@example.com'}, 'time': 1668413486000000000, 'fields': {'commit_id': 'c1d900b7'}}] to bucket gitlab
2022-11-14 15:11:26,260 | root | INFO | write [{'measurement': 2, 'tags': {'project_name': 'b', 'commit_id': '1d759fd0d2ddfc0643c8037f394edfb8005e47f2', 'commit_title': 'Add new file', 'created_at': '2022-11-09T03:56:24.000Z', 'author_email': 'caolv@gmail.com'}, 'time': 1668413486000000000, 'fields': {'commit_id': '1d759fd0'}}] to bucket gitlab
2022-11-14 15:11:26,335 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '177b6fe18d73282701fc2eecf24eb6bddeb9f778', 'commit_title': 'commit2', 'created_at': '2022-11-11T02:54:10.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': '177b6fe1'}}] to bucket gitlab
2022-11-14 15:11:26,379 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '06450ae3fedd1a30d414d4299b01e46d70a5f2bd', 'commit_title': 'commit', 'created_at': '2022-11-11T02:42:12.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': '06450ae3'}}] to bucket gitlab
2022-11-14 15:11:26,405 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '53edc3a48cc2749dda2d66fcafcd25e2642e596b', 'commit_title': 'init', 'created_at': '2022-11-11T02:38:39.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': '53edc3a4'}}] to bucket gitlab
2022-11-14 15:11:26,428 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': 'b109c77910be614a996ef52abdf283beb8bf172e', 'commit_title': 'init', 'created_at': '2022-11-10T01:29:54.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': 'b109c779'}}] to bucket gitlab
2022-11-14 15:11:26,456 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '7b4e0917ab45441fda4c7394cde25d8f6dd5b678', 'commit_title': 'init', 'created_at': '2022-11-10T01:29:49.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': '7b4e0917'}}] to bucket gitlab
2022-11-14 15:11:26,478 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': 'ad25c1577ba9021956c9e6857f52379c7de442a1', 'commit_title': 'init', 'created_at': '2022-11-10T01:29:39.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': 'ad25c157'}}] to bucket gitlab
2022-11-14 15:11:26,506 | root | INFO | write [{'measurement': 1, 'tags': {'project_name': 'a', 'commit_id': '0fab7cbbe9ae573fef27b0a5e34d3e5cdd469060', 'commit_title': 'init', 'created_at': '2022-11-09T03:48:35.000Z', 'author_email': 'caolv@biplus.com.vn'}, 'time': 1668413486000000000, 'fields': {'commit_id': '0fab7cbb'}}] to bucket gitlab
