#datatype dateTime:RFC3339,long,string,measurement,tag,tag
_time,_value,_field,measurement,sonarq_project_id,sonarq_project_name
2022-11-16T00:00:00Z,10,java:S789,frequency_rule,686,influx
2022-11-16T00:00:00Z,20,java:S12,frequency_rule,686,influx
2022-11-16T00:00:00Z,15,java:S788,frequency_rule,686,influx
2022-11-16T00:00:00Z,3,java:S362,frequency_rule,686,influx
2022-11-16T00:00:00Z,9,java:S686,frequency_rule,686,influx
2022-11-16T00:00:00Z,16,java:S222,frequency_rule,686,influx
2022-11-16T00:00:00Z,8,python:S234,frequency_rule,686,influx
2022-11-16T00:00:00Z,3,python:S789,frequency_rule,755,flask
2022-11-16T00:00:00Z,20,python:S12,frequency_rule,755,flask
2022-11-16T00:00:00Z,15,python:S788,frequency_rule,755,flask
2022-11-16T00:00:00Z,5,python:S362,frequency_rule,755,flask
2022-11-16T00:00:00Z,16,python:S686,frequency_rule,755,flask
2022-11-16T00:00:00Z,0,python:S222,frequency_rule,755,flask
2022-11-16T00:00:00Z,8,python:S234,frequency_rule,755,flask
2022-11-20T00:00:00Z,10,java:S789,frequency_rule,686,influx
2022-11-20T00:00:00Z,20,java:S12,frequency_rule,686,influx
2022-11-20T00:00:00Z,15,java:S788,frequency_rule,686,influx
2022-11-20T00:00:00Z,3,java:S362,frequency_rule,686,influx
2022-11-20T00:00:00Z,9,java:S686,frequency_rule,686,influx
2022-11-20T00:00:00Z,20,java:S222,frequency_rule,686,influx
2022-11-20T00:00:00Z,8,python:S234,frequency_rule,686,influx
2022-11-20T00:00:00Z,3,python:S789,frequency_rule,755,flask
2022-11-20T00:00:00Z,20,python:S12,frequency_rule,755,flask
2022-11-20T00:00:00Z,15,python:S788,frequency_rule,755,flask
2022-11-20T00:00:00Z,5,python:S362,frequency_rule,755,flask
2022-11-20T00:00:00Z,20,python:S686,frequency_rule,755,flask
2022-11-20T00:00:00Z,0,python:S222,frequency_rule,755,flask
2022-11-20T00:00:00Z,8,python:S234,frequency_rule,755,flask
